"","latitude","longitude","category","hours","crashyn"
"203",-38.17965,144.2975,"No Serious Injury","03:00:00","Crash"
"204",-37.00637,144.506,"No Serious Injury","00:50:00","Crash"
"205",-38.32474,146.3305,"No Serious Injury","22:00:00","Crash"
"206",-36.75628,144.2833,"Serious","01:30:00","Crash"
"207",-38.1586,145.9213,"No Serious Injury","02:20:00","Crash"
"208",-37.38511,145.026,"No Serious Injury","22:25:00","Crash"
"209",-37.57649,143.8779,"No Serious Injury","23:30:00","Crash"
"210",-37.86727,144.1631,"Serious","23:19:00","Crash"
"211",-38.21224,144.2944,"Serious","22:44:00","Crash"
"212",-36.77642,144.2851,"No Serious Injury","22:40:00","Crash"
"213",-36.79843,144.227,"Serious","02:30:00","Crash"
"214",-38.51482,146.6485,"Serious","05:45:00","Crash"
"215",-35.92547,145.5522,"Fatal","02:40:00","Crash"
"216",-35.25915,141.1575,"Serious","04:20:00","Crash"
"217",-38.49252,142.9559,"Serious","23:05:00","Crash"
"218",-38.19324,144.34,"No Serious Injury","22:10:00","Crash"
"219",-38.20606,146.3049,"Serious","23:30:00","Crash"
"220",-36.60067,145.141,"No Serious Injury","06:00:00","Crash"
"221",-38.15845,145.8367,"No Serious Injury","23:00:00","Crash"
"222",-36.82815,144.2896,"Serious","23:00:00","Crash"
"223",-38.11844,144.3484,"Serious","05:24:00","Crash"
"224",-36.01379,145.4606,"Serious","04:20:00","Crash"
"225",-36.12029,146.8732,"No Serious Injury","22:45:00","Crash"
"226",-37.47536,144.3084,"No Serious Injury","23:00:00","Crash"
"227",-36.71699,144.6811,"Serious","01:10:00","Crash"
"228",-37.57649,141.5816,"Serious","02:43:00","Crash"
"229",-37.02067,145.1264,"Serious","05:49:00","Crash"
"230",-37.35196,145.0224,"Fatal","03:49:00","Crash"
"231",-35.99521,145.8541,"No Serious Injury","00:50:00","Crash"
"232",-37.56456,143.8227,"Serious","00:05:00","Crash"
"233",-38.38501,142.2207,"No Serious Injury","00:55:00","Crash"
"234",-38.03103,144.4299,"Serious","03:23:00","Crash"
"235",-36.30419,145.4317,"No Serious Injury","00:30:00","Crash"
"236",-37.1675,145.5393,"No Serious Injury","22:30:00","Crash"
"237",-37.01219,142.8564,"Serious","04:15:00","Crash"
"238",-37.31163,145.0499,"No Serious Injury","05:20:00","Crash"
"239",-37.70288,147.8236,"Serious","01:35:00","Crash"
"240",-38.37343,142.4626,"Serious","22:25:00","Crash"
"241",-37.56995,143.8706,"No Serious Injury","23:40:00","Crash"
"242",-38.01835,146.6704,"Serious","01:56:00","Crash"
"243",-38.16044,144.3113,"No Serious Injury","23:50:00","Crash"
"244",-35.99902,145.2217,"Serious","03:50:00","Crash"
"245",-36.78296,143.8349,"No Serious Injury","04:45:00","Crash"
"246",-38.40082,146.1653,"No Serious Injury","23:38:00","Crash"
"247",-34.19186,142.1744,"No Serious Injury","23:12:00","Crash"
"248",-36.1251,146.6517,"Serious","04:30:00","Crash"
"249",-38.18994,144.309,"No Serious Injury","05:15:00","Crash"
"250",-38.52414,142.9819,"No Serious Injury","22:00:00","Crash"
"251",-37.58679,141.412,"Serious","04:30:00","Crash"
"252",-38.09664,147.0734,"No Serious Injury","22:15:00","Crash"
"253",-37.40872,145.0089,"No Serious Injury","02:40:00","Crash"
"254",-38.10177,146.9492,"Serious","05:20:00","Crash"
"255",-36.96534,145.1431,"Serious","04:00:00","Crash"
"256",-35.20198,143.3646,"Serious","01:30:00","Crash"
"257",-38.2177,146.4274,"No Serious Injury","22:40:00","Crash"
"258",-36.84984,144.1551,"Serious","23:20:00","Crash"
"259",-37.35838,143.981,"Serious","05:10:00","Crash"
"260",-38.0885,144.3654,"Serious","22:52:00","Crash"
"261",-36.75033,145.5627,"No Serious Injury","22:20:00","Crash"
"262",-38.22995,146.4259,"No Serious Injury","01:45:00","Crash"
"263",-34.18995,142.1507,"No Serious Injury","04:23:00","Crash"
"264",-37.37662,143.2094,"Serious","05:35:00","Crash"
"265",-38.02189,144.3899,"No Serious Injury","02:30:00","Crash"
"266",-37.56801,143.8689,"No Serious Injury","02:17:00","Crash"
"267",-37.97723,144.5424,"Serious","01:30:00","Crash"
"268",-37.54075,144.0104,"Serious","22:30:00","Crash"
"269",-38.54863,145.6568,"Serious","00:00:00","Crash"
"270",-36.50913,142.1003,"Serious","00:15:00","Crash"
"271",-37.81605,147.7555,"Serious","02:20:00","Crash"
"272",-38.13139,144.3446,"No Serious Injury","01:45:00","Crash"
"273",-37.48711,145.4176,"No Serious Injury","22:15:00","Crash"
"274",-36.79612,144.2406,"No Serious Injury","22:30:00","Crash"
"275",-38.47781,146.1115,"Serious","23:00:00","Crash"
"276",-38.18291,146.5673,"Serious","02:30:00","Crash"
"277",-38.15366,144.3586,"No Serious Injury","23:00:00","Crash"
"278",-38.30148,146.4219,"No Serious Injury","05:00:00","Crash"
"279",-38.43867,145.4427,"Serious","00:01:00","Crash"
"280",-37.51238,141.3836,"Fatal","00:50:00","Crash"
"281",-36.3587,146.3089,"No Serious Injury","05:45:00","Crash"
"282",-36.37973,145.4136,"No Serious Injury","03:00:00","Crash"
"283",-37.29377,142.9202,"Serious","00:45:00","Crash"
"284",-37.52771,145.7235,"No Serious Injury","03:10:00","Crash"
"285",-36.38779,146.4322,"Serious","05:10:00","Crash"
"286",-37.93686,144.1692,"Serious","01:00:00","Crash"
"287",-36.76347,144.2706,"Serious","22:40:00","Crash"
"288",-37.05571,144.3727,"No Serious Injury","23:00:00","Crash"
"289",-36.75274,144.2981,"No Serious Injury","04:50:00","Crash"
"290",-37.60979,143.9114,"Serious","05:00:00","Crash"
"291",-37.97156,146.9838,"No Serious Injury","22:50:00","Crash"
"292",-37.56383,143.8544,"Serious","01:13:00","Crash"
"293",-38.14678,144.3471,"No Serious Injury","06:00:00","Crash"
"294",-34.26895,142.1839,"Serious","23:45:00","Crash"
"295",-36.12459,144.7471,"No Serious Injury","22:55:00","Crash"
"296",-38.61629,145.6589,"Serious","03:30:00","Crash"
"297",-37.85642,144.3876,"No Serious Injury","00:20:00","Crash"
"298",-37.98105,146.8038,"No Serious Injury","22:50:00","Crash"
"299",-37.26197,145.0037,"Fatal","02:40:00","Crash"
"300",-37.37716,144.5975,"No Serious Injury","23:41:00","Crash"
"301",-38.1305,145.8504,"No Serious Injury","04:40:00","Crash"
"302",-38.09882,144.355,"No Serious Injury","05:40:00","Crash"
"303",-38.23032,146.435,"No Serious Injury","05:50:00","Crash"
"304",-38.38553,142.5406,"No Serious Injury","03:00:00","Crash"
"305",-37.22366,143.4018,"No Serious Injury","04:40:00","Crash"
"306",-36.48466,145.3166,"No Serious Injury","23:00:00","Crash"
"307",-37.73617,143.3398,"No Serious Injury","22:00:00","Crash"
"308",-37.23707,144.9958,"Serious","03:00:00","Crash"
"309",-36.43436,143.6637,"No Serious Injury","02:30:00","Crash"
"310",-38.02369,142.9762,"No Serious Injury","03:45:00","Crash"
"311",-38.33252,142.3584,"No Serious Injury","23:00:00","Crash"
"312",-37.34681,144.9998,"No Serious Injury","23:15:00","Crash"
"313",-37.53461,144.3008,"No Serious Injury","23:00:00","Crash"
"314",-38.16141,145.9395,"No Serious Injury","23:00:00","Crash"
"315",-36.30629,146.1584,"Serious","22:10:00","Crash"
"316",-38.02123,144.2845,"Serious","04:45:00","Crash"
"317",-37.4254,145.057,"No Serious Injury","22:30:00","Crash"
"318",-37.74164,148.1569,"No Serious Injury","22:00:00","Crash"
"319",-37.26689,144.6411,"No Serious Injury","01:40:00","Crash"
"320",-36.41932,145.7045,"Serious","05:15:00","Crash"
"321",-38.09884,144.355,"No Serious Injury","23:10:00","Crash"
"322",-38.22839,146.5186,"No Serious Injury","23:00:00","Crash"
"323",-38.17737,144.3684,"No Serious Injury","05:15:00","Crash"
"324",-37.52434,143.8089,"Serious","05:45:00","Crash"
"325",-38.62368,145.7342,"Serious","23:00:00","Crash"
"326",-37.20784,145.7321,"Fatal","01:40:00","Crash"
"327",-35.20332,142.1001,"No Serious Injury","22:15:00","Crash"
"328",-36.55612,145.3585,"Serious","05:30:00","Crash"
"329",-38.11622,146.0545,"No Serious Injury","05:19:00","Crash"
"330",-37.49386,144.5897,"No Serious Injury","23:08:00","Crash"
"331",-38.48369,143.4671,"No Serious Injury","03:36:00","Crash"
"332",-36.64617,145.7207,"No Serious Injury","04:00:00","Crash"
"333",-37.98235,146.8879,"Serious","01:20:00","Crash"
"334",-37.55014,143.8711,"Fatal","00:03:00","Crash"
"335",-37.26298,145.0557,"No Serious Injury","23:45:00","Crash"
"336",-37.00601,144.9951,"Serious","05:00:00","Crash"
"337",-38.66592,146.2234,"No Serious Injury","02:00:00","Crash"
"338",-38.1433,144.315,"Serious","22:30:00","Crash"
"339",-38.34904,143.4035,"Serious","05:50:00","Crash"
"340",-38.17648,144.3511,"Serious","02:15:00","Crash"
"341",-36.86983,141.6728,"Serious","05:10:00","Crash"
"342",-38.10858,146.8941,"No Serious Injury","06:00:00","Crash"
"343",-37.0613,142.785,"Serious","00:30:00","Crash"
"344",-35.33772,143.5502,"No Serious Injury","02:59:00","Crash"
"345",-38.25632,146.4345,"Fatal","05:10:00","Crash"
"346",-34.33554,142.2717,"No Serious Injury","00:15:00","Crash"
"347",-37.42009,145.0228,"No Serious Injury","23:30:00","Crash"
"348",-37.21919,145.4161,"No Serious Injury","04:30:00","Crash"
"349",-36.82149,144.2378,"No Serious Injury","05:00:00","Crash"
"350",-38.12507,144.3375,"Serious","03:30:00","Crash"
"351",-38.16794,144.3724,"No Serious Injury","00:29:00","Crash"
"352",-37.38867,144.1735,"Serious","00:30:00","Crash"
"353",-37.56279,143.8455,"No Serious Injury","22:15:00","Crash"
"354",-36.40931,145.4599,"Serious","22:52:00","Crash"
"355",-37.03021,144.2343,"Serious","23:20:00","Crash"
"356",-38.20249,144.3359,"Serious","22:46:00","Crash"
"357",-38.1015,144.3543,"No Serious Injury","22:32:00","Crash"
"358",-36.76922,142.5314,"No Serious Injury","22:45:00","Crash"
"359",-37.6297,143.963,"Serious","23:00:00","Crash"
"360",-36.13947,144.7661,"No Serious Injury","23:15:00","Crash"
"361",-36.38389,147.0655,"Serious","06:00:00","Crash"
"362",-38.29181,143.1182,"No Serious Injury","00:30:00","Crash"
"363",-38.14751,145.8419,"No Serious Injury","05:30:00","Crash"
"364",-36.77711,144.3013,"No Serious Injury","23:00:00","Crash"
"365",-36.9538,142.5792,"Serious","23:55:00","Crash"
"366",-36.12863,142.8624,"Fatal","02:05:00","Crash"
"367",-35.99878,145.477,"No Serious Injury","01:00:00","Crash"
"368",-38.73524,143.6835,"No Serious Injury","23:00:00","Crash"
"369",-37.52082,143.8508,"No Serious Injury","03:35:00","Crash"
"370",-37.58651,143.8191,"No Serious Injury","22:00:00","Crash"
"371",-34.20063,142.1707,"No Serious Injury","06:00:00","Crash"
"372",-38.12728,144.3459,"No Serious Injury","01:30:00","Crash"
"373",-38.152,145.9333,"No Serious Injury","03:30:00","Crash"
"374",-36.4408,145.4982,"No Serious Injury","05:30:00","Crash"
"375",-37.34796,145.0153,"No Serious Injury","22:45:00","Crash"
"376",-36.79981,144.243,"No Serious Injury","23:35:00","Crash"
"377",-38.44608,143.1531,"Serious","00:30:00","Crash"
"378",-38.09726,145.7744,"Serious","23:25:00","Crash"
"379",-37.9321,141.2946,"No Serious Injury","02:30:00","Crash"
"380",-36.71927,147.1171,"No Serious Injury","22:45:00","Crash"
"381",-38.25933,141.6838,"Serious","23:00:00","Crash"
"382",-36.74987,144.2836,"No Serious Injury","04:50:00","Crash"
"383",-38.06495,144.3382,"Serious","22:45:00","Crash"
"384",-36.28141,146.3988,"No Serious Injury","23:15:00","Crash"
"385",-37.42692,144.5424,"No Serious Injury","00:29:00","Crash"
"386",-36.42022,145.407,"No Serious Injury","22:00:00","Crash"
"387",-38.34388,142.9967,"No Serious Injury","22:00:00","Crash"
"388",-36.69758,142.6313,"No Serious Injury","05:00:00","Crash"
"389",-37.56713,143.8685,"No Serious Injury","22:55:00","Crash"
"390",-37.88766,146.9418,"Serious","03:00:00","Crash"
"391",-38.33572,141.6043,"Serious","23:35:00","Crash"
"392",-36.60514,145.817,"Serious","06:00:00","Crash"
"393",-38.0309,146.766,"No Serious Injury","04:20:00","Crash"
"394",-38.00702,141.4563,"No Serious Injury","22:45:00","Crash"
"395",-37.62405,143.5807,"No Serious Injury","04:00:00","Crash"
"396",-37.0645,144.2103,"No Serious Injury","06:00:00","Crash"
"397",-37.03988,145.1607,"Serious","05:30:00","Crash"
"398",-37.51206,143.706,"Serious","00:46:00","Crash"
"399",-38.18412,144.4424,"Serious","00:02:00","Crash"
"400",-37.29099,143.7818,"No Serious Injury","02:35:00","Crash"
"401",-37.46118,144.9716,"No Serious Injury","23:53:00","Crash"
"402",-36.08063,146.7716,"Serious","22:54:00","Crash"
"403",-38.10704,141.6452,"Serious","05:40:00","Crash"
"404",-38.26208,144.5446,"Serious","03:50:00","Crash"
"405",-36.41633,145.4621,"Serious","04:30:00","Crash"
"406",-35.61747,143.8036,"No Serious Injury","01:54:00","Crash"
"407",-36.84157,142.3033,"Serious","23:45:00","Crash"
"408",-38.26745,144.4635,"Serious","00:15:00","Crash"
"409",-37.8286,147.5353,"Serious","03:40:00","Crash"
"410",-36.23107,145.7799,"Serious","23:59:00","Crash"
"411",-36.76364,144.255,"No Serious Injury","23:35:00","Crash"
"412",-37.03489,145.1012,"No Serious Injury","05:55:00","Crash"
"413",-37.41933,144.9932,"No Serious Injury","23:00:00","Crash"
"414",-37.70777,144.4569,"No Serious Injury","06:00:00","Crash"
"415",-36.60454,145.3961,"Fatal","05:00:00","Crash"
"416",-36.35403,146.31,"Serious","22:00:00","Crash"
"417",-38.0988,144.3551,"Serious","23:50:00","Crash"
"418",-37.57555,143.864,"No Serious Injury","22:08:00","Crash"
"419",-37.0307,145.136,"No Serious Injury","05:00:00","Crash"
"420",-37.25623,143.2004,"Serious","22:45:00","Crash"
"421",-38.16638,144.362,"Serious","03:00:00","Crash"
"422",-37.0786,144.2467,"Serious","02:30:00","Crash"
"423",-36.08983,145.2046,"No Serious Injury","22:00:00","Crash"
"424",-38.15497,144.3794,"No Serious Injury","03:00:00","Crash"
"425",-37.7438,148.1657,"Serious","00:30:00","Crash"
"426",-36.74354,144.2956,"No Serious Injury","23:10:00","Crash"
"427",-36.04218,145.4604,"Serious","02:30:00","Crash"
"428",-38.39353,142.4682,"No Serious Injury","23:30:00","Crash"
"429",-36.95161,144.2337,"No Serious Injury","06:00:00","Crash"
"430",-38.21029,144.3688,"No Serious Injury","23:50:00","Crash"
"431",-38.15959,144.3956,"Serious","22:40:00","Crash"
"432",-38.14496,144.3532,"Serious","23:10:00","Crash"
"433",-36.4782,143.7022,"Fatal","05:20:00","Crash"
"434",-38.20558,141.7009,"Serious","04:15:00","Crash"
"435",-37.68101,143.5791,"No Serious Injury","04:15:00","Crash"
